,Code,Name,Date,Open,High,Low,Close,Volume,Change
272,195870,해성디에스,2020-02-11,19050,19050,18450,18950,126610,-0.002631578947368429
273,195870,해성디에스,2020-02-12,19000,19250,18650,18950,102096,0.0
274,195870,해성디에스,2020-02-13,18950,19200,18600,18700,85121,-0.01319261213720313
275,195870,해성디에스,2020-02-14,18600,19100,18550,18850,81739,0.008021390374331583
276,195870,해성디에스,2020-02-17,18900,19100,18600,18850,60943,0.0
277,195870,해성디에스,2020-02-18,18750,18900,18350,18500,74300,-0.018567639257294436
278,195870,해성디에스,2020-02-19,19000,19200,18700,18700,114950,0.0108108108108107
279,195870,해성디에스,2020-02-20,18700,18900,18100,18550,83404,-0.008021390374331583
280,195870,해성디에스,2020-02-21,18100,18500,17900,18050,89262,-0.02695417789757415
281,195870,해성디에스,2020-02-24,17550,17750,17200,17500,95589,-0.03047091412742386
282,195870,해성디에스,2020-02-25,17300,18100,17150,18000,137196,0.02857142857142847
283,195870,해성디에스,2020-02-26,17600,17950,17500,17800,60744,-0.011111111111111072
284,195870,해성디에스,2020-02-27,17750,17800,16350,17200,144397,-0.0337078651685393
285,195870,해성디에스,2020-02-28,16800,17050,16000,16050,104448,-0.06686046511627908
286,195870,해성디에스,2020-03-02,16450,17000,16100,16850,114144,0.049844236760124616
287,195870,해성디에스,2020-03-03,17400,17400,16600,16650,70551,-0.01186943620178038
288,195870,해성디에스,2020-03-04,16450,17650,16450,17550,137891,0.054054054054053946
289,195870,해성디에스,2020-03-05,17650,17700,17300,17700,56746,0.008547008547008517
290,195870,해성디에스,2020-03-06,17300,17600,16950,17200,46748,-0.02824858757062143
291,195870,해성디에스,2020-03-09,16700,17000,16100,16350,83560,-0.04941860465116277
292,195870,해성디에스,2020-03-10,15850,16550,15850,16500,73157,0.00917431192660545
293,195870,해성디에스,2020-03-11,16500,16600,15500,15600,65714,-0.054545454545454564
294,195870,해성디에스,2020-03-12,15150,15600,14300,14550,132340,-0.06730769230769229
295,195870,해성디에스,2020-03-13,13150,14100,12300,13650,210766,-0.061855670103092786
296,195870,해성디에스,2020-03-16,13800,13850,12300,12300,185303,-0.09890109890109887
297,195870,해성디에스,2020-03-17,11300,13200,11300,12950,165888,0.05284552845528445
298,195870,해성디에스,2020-03-18,12850,13400,12300,12350,100477,-0.04633204633204635
299,195870,해성디에스,2020-03-19,12550,13600,10800,11000,174549,-0.10931174089068828
300,195870,해성디에스,2020-03-20,11150,12150,11150,12150,89863,0.1045454545454545
301,195870,해성디에스,2020-03-23,11550,12000,10950,11800,88559,-0.028806584362139894
302,195870,해성디에스,2020-03-24,12100,12700,11750,12500,127020,0.05932203389830515
303,195870,해성디에스,2020-03-25,13000,13150,12600,12800,125741,0.024000000000000018
304,195870,해성디에스,2020-03-26,13200,13400,12600,13000,86378,0.015625
305,195870,해성디에스,2020-03-27,13400,13600,12850,13200,67112,0.015384615384615332
306,195870,해성디에스,2020-03-30,12750,13400,12600,13350,58015,0.011363636363636465
307,195870,해성디에스,2020-03-31,13550,13900,13300,13800,93176,0.033707865168539415
308,195870,해성디에스,2020-04-01,13800,14450,13500,13500,110940,-0.021739130434782598
309,195870,해성디에스,2020-04-02,13550,13950,13250,13900,75627,0.029629629629629676
310,195870,해성디에스,2020-04-03,14000,14000,13300,13550,110967,-0.025179856115107868
311,195870,해성디에스,2020-04-06,13500,14400,13500,14400,122046,0.0627306273062731
312,195870,해성디에스,2020-04-07,14700,15450,14450,15300,142828,0.0625
313,195870,해성디에스,2020-04-08,15250,15500,14950,15400,65940,0.006535947712418277
314,195870,해성디에스,2020-04-09,15750,15750,14800,15000,106640,-0.025974025974025983
315,195870,해성디에스,2020-04-10,14900,15100,14650,15100,39635,0.0066666666666665994
316,195870,해성디에스,2020-04-13,15100,15100,14100,14100,87481,-0.06622516556291391
317,195870,해성디에스,2020-04-14,14300,14500,13950,14400,82186,0.021276595744680767
318,195870,해성디에스,2020-04-16,14100,15150,14050,14550,178348,0.01041666666666674
319,195870,해성디에스,2020-04-17,14900,15300,14700,14800,153398,0.017182130584192382
320,195870,해성디에스,2020-04-20,14950,15050,14400,14550,112869,-0.016891891891891886
321,195870,해성디에스,2020-04-21,14400,14400,13500,13950,125445,-0.04123711340206182
322,195870,해성디에스,2020-04-22,13550,13950,13300,13900,129466,-0.0035842293906810365
323,195870,해성디에스,2020-04-23,14250,14450,14100,14300,74189,0.02877697841726623
324,195870,해성디에스,2020-04-24,14100,14200,13850,13850,66293,-0.031468531468531465
325,195870,해성디에스,2020-04-27,14000,14200,13900,14100,50072,0.01805054151624552
326,195870,해성디에스,2020-04-28,14600,14650,14250,14650,137247,0.03900709219858145
327,195870,해성디에스,2020-04-29,14650,15200,14550,14800,151495,0.010238907849829282
328,195870,해성디에스,2020-05-04,14400,15050,14400,14950,105341,0.010135135135135087
329,195870,해성디에스,2020-05-06,15100,15300,14800,14900,103660,-0.0033444816053511683
330,195870,해성디에스,2020-05-07,14900,17000,14750,15200,674566,0.020134228187919545
331,195870,해성디에스,2020-05-08,15300,15800,15200,15650,184287,0.029605263157894687
332,195870,해성디에스,2020-05-11,15800,16100,15250,16000,217193,0.022364217252396124
333,195870,해성디에스,2020-05-12,15850,16450,15750,16200,142153,0.012499999999999956
334,195870,해성디에스,2020-05-13,15850,16300,15850,15900,98172,-0.01851851851851849
335,195870,해성디에스,2020-05-14,15900,16000,15500,15900,104485,0.0
336,195870,해성디에스,2020-05-15,16100,16300,15700,16150,80365,0.01572327044025168
337,195870,해성디에스,2020-05-18,16400,16500,15850,15950,161862,-0.012383900928792602
338,195870,해성디에스,2020-05-19,16200,16250,15900,16150,88499,0.012539184952978122
339,195870,해성디에스,2020-05-20,16150,16850,16050,16650,184747,0.030959752321981338
340,195870,해성디에스,2020-05-21,16900,17700,16700,17350,359070,0.04204204204204198
341,195870,해성디에스,2020-05-22,17400,17450,16500,16650,214611,-0.040345821325648464
342,195870,해성디에스,2020-05-25,16800,17350,16400,17300,158193,0.039039039039038936
343,195870,해성디에스,2020-05-26,17350,17450,16750,16900,151941,-0.023121387283236983
344,195870,해성디에스,2020-05-27,16950,16950,16300,16300,153311,-0.035502958579881616
345,195870,해성디에스,2020-05-28,16550,16850,15700,16100,174715,-0.012269938650306787
346,195870,해성디에스,2020-05-29,16100,16100,15650,15850,79687,-0.015527950310558982
347,195870,해성디에스,2020-06-01,16000,16650,15850,16550,128451,0.04416403785488954
348,195870,해성디에스,2020-06-02,16700,16950,16550,16950,103540,0.024169184290030232
349,195870,해성디에스,2020-06-03,17250,17700,16800,16800,218428,-0.008849557522123908
350,195870,해성디에스,2020-06-04,17200,17200,16250,16900,200509,0.005952380952380931
351,195870,해성디에스,2020-06-05,17000,17000,16600,16850,62212,-0.00295857988165682
352,195870,해성디에스,2020-06-08,17000,17000,16450,16650,99411,-0.01186943620178038
353,195870,해성디에스,2020-06-09,16650,16700,16300,16500,64013,-0.009009009009009028
354,195870,해성디에스,2020-06-10,16350,16850,16300,16800,85030,0.01818181818181808
355,195870,해성디에스,2020-06-11,16600,16800,16250,16400,77788,-0.02380952380952384
356,195870,해성디에스,2020-06-12,15400,15950,15350,15800,189121,-0.03658536585365857
357,195870,해성디에스,2020-06-15,15650,15650,14450,14450,163490,-0.08544303797468357
358,195870,해성디에스,2020-06-16,15000,15500,14800,15150,140327,0.04844290657439454
359,195870,해성디에스,2020-06-17,14950,15350,14700,15000,104990,-0.00990099009900991
360,195870,해성디에스,2020-06-18,15000,15150,14750,14850,60867,-0.010000000000000007
361,195870,해성디에스,2020-06-19,15050,15200,14850,15150,51868,0.02020202020202011
362,195870,해성디에스,2020-06-22,15100,15450,14950,15100,95779,-0.0033003300330033407
363,195870,해성디에스,2020-06-23,15250,15500,15000,15300,79459,0.013245033112582849
364,195870,해성디에스,2020-06-24,15300,15450,15200,15300,91154,0.0
365,195870,해성디에스,2020-06-25,15050,15250,14800,15100,57857,-0.013071895424836557
366,195870,해성디에스,2020-06-26,15350,15350,14900,14950,84016,-0.009933774834437135
367,195870,해성디에스,2020-06-29,14850,15000,14500,14750,62195,-0.013377926421404672
368,195870,해성디에스,2020-06-30,15100,15150,14800,15000,76372,0.016949152542372836
369,195870,해성디에스,2020-07-01,15100,15200,14800,14850,91680,-0.010000000000000007
370,195870,해성디에스,2020-07-02,14950,15200,14900,15200,90188,0.023569023569023573
371,195870,해성디에스,2020-07-03,15400,16050,15200,15800,179817,0.039473684210526334
372,195870,해성디에스,2020-07-06,16100,16150,15750,15850,95750,0.003164556962025333
373,195870,해성디에스,2020-07-07,15900,15950,15350,15400,77237,-0.028391167192429068
374,195870,해성디에스,2020-07-08,15500,15800,15350,15750,66741,0.02272727272727271
375,195870,해성디에스,2020-07-09,17650,18650,17050,18150,2243568,0.15238095238095228
376,195870,해성디에스,2020-07-10,18250,19100,17850,18550,1034116,0.02203856749311295
377,195870,해성디에스,2020-07-13,18850,19650,18450,19000,980538,0.0242587601078168
378,195870,해성디에스,2020-07-14,18700,19200,18350,18850,522696,-0.007894736842105288
379,195870,해성디에스,2020-07-15,19000,19250,18300,19150,623454,0.01591511936339529
380,195870,해성디에스,2020-07-16,19100,19150,18200,18400,377734,-0.039164490861618766
381,195870,해성디에스,2020-07-17,18750,19050,18500,18650,311643,0.013586956521739024
382,195870,해성디에스,2020-07-20,18750,18750,18300,18600,188194,-0.0026809651474530853
383,195870,해성디에스,2020-07-21,18800,18850,18050,18300,268153,-0.016129032258064502
384,195870,해성디에스,2020-07-22,18000,18500,17950,18400,225116,0.005464480874316946
385,195870,해성디에스,2020-07-23,18950,19300,18600,19050,722962,0.03532608695652173
386,195870,해성디에스,2020-07-24,18750,18850,18100,18400,258680,-0.034120734908136496
387,195870,해성디에스,2020-07-27,18400,19400,18400,19350,672154,0.05163043478260865
388,195870,해성디에스,2020-07-28,19400,19450,18650,18850,378851,-0.02583979328165376
389,195870,해성디에스,2020-07-29,19200,19400,18500,18900,308776,0.0026525198938991412
390,195870,해성디에스,2020-07-30,19450,21000,19400,20400,2591429,0.0793650793650793
391,195870,해성디에스,2020-07-31,21100,21500,20400,20650,1106642,0.01225490196078427
392,195870,해성디에스,2020-08-03,20750,20850,20000,20650,438180,0.0
393,195870,해성디에스,2020-08-04,21000,21100,20350,20450,370075,-0.009685230024213063
394,195870,해성디에스,2020-08-05,20750,21050,20050,20400,456040,-0.0024449877750610804
395,195870,해성디에스,2020-08-06,20500,20600,19850,20300,346534,-0.004901960784313708
396,195870,해성디에스,2020-08-07,20400,20450,19650,19950,292515,-0.017241379310344862
397,195870,해성디에스,2020-08-10,19950,20900,19400,20750,605464,0.04010025062656642
398,195870,해성디에스,2020-08-11,21050,21050,20200,20250,373600,-0.02409638554216864
399,195870,해성디에스,2020-08-12,20600,21150,20400,20750,786308,0.024691358024691468
400,195870,해성디에스,2020-08-13,21100,21250,20500,20700,309220,-0.002409638554216831
401,195870,해성디에스,2020-08-14,20850,20850,19800,20150,223869,-0.02657004830917875
402,195870,해성디에스,2020-08-18,20250,20400,18650,19000,322679,-0.057071960297766726
403,195870,해성디에스,2020-08-19,19250,19650,18950,19250,157270,0.013157894736842035
404,195870,해성디에스,2020-08-20,19100,19300,17900,18000,399881,-0.06493506493506496
405,195870,해성디에스,2020-08-21,18350,18600,17700,18300,168523,0.01666666666666661
406,195870,해성디에스,2020-08-24,18300,18800,17850,18600,141635,0.016393442622950838
407,195870,해성디에스,2020-08-25,18700,19650,18400,19450,336947,0.04569892473118276
408,195870,해성디에스,2020-08-26,19550,19800,19100,19600,170643,0.007712082262210762
409,195870,해성디에스,2020-08-27,19650,19650,18900,19000,160176,-0.030612244897959218
410,195870,해성디에스,2020-08-28,19000,19400,18750,18850,109463,-0.007894736842105288
411,195870,해성디에스,2020-08-31,19250,19250,18500,18950,150860,0.0053050397877985045
412,195870,해성디에스,2020-09-01,18900,19250,18800,19100,107230,0.0079155672823219
413,195870,해성디에스,2020-09-02,19250,19400,19000,19150,117357,0.002617801047120505
414,195870,해성디에스,2020-09-03,20000,20450,19700,19700,476627,0.02872062663185382
415,195870,해성디에스,2020-09-04,18950,19450,18850,19350,277500,-0.017766497461928932
416,195870,해성디에스,2020-09-07,19500,20350,19450,19950,349816,0.03100775193798455
417,195870,해성디에스,2020-09-08,20100,20450,19700,20150,277310,0.010025062656641605
418,195870,해성디에스,2020-09-09,19750,20150,19500,19900,121227,-0.012406947890818865
419,195870,해성디에스,2020-09-10,20100,20850,19900,20750,395993,0.04271356783919589
420,195870,해성디에스,2020-09-11,20600,21000,20300,20650,272926,-0.004819277108433773
421,195870,해성디에스,2020-09-14,21200,21300,20600,20750,502663,0.004842615012106588
422,195870,해성디에스,2020-09-15,20850,20950,20350,20650,232924,-0.004819277108433773
423,195870,해성디에스,2020-09-16,20700,20700,19900,20050,243490,-0.029055690072639195
424,195870,해성디에스,2020-09-17,19950,20200,19350,19800,215231,-0.012468827930174564
425,195870,해성디에스,2020-09-18,19950,19950,19350,19650,100088,-0.007575757575757569
426,195870,해성디에스,2020-09-21,19900,20150,19050,19400,183400,-0.012722646310432515
427,195870,해성디에스,2020-09-22,19450,19450,18650,18700,143341,-0.036082474226804113
428,195870,해성디에스,2020-09-23,19000,20050,18500,19750,269596,0.056149732620320865
429,195870,해성디에스,2020-09-24,19350,19650,18750,18950,160293,-0.04050632911392405
430,195870,해성디에스,2020-09-25,19200,19200,18650,18800,93883,-0.0079155672823219
431,195870,해성디에스,2020-09-28,19100,19350,18950,19350,72836,0.0292553191489362
432,195870,해성디에스,2020-09-29,19850,20250,19700,19800,252645,0.023255813953488413
433,195870,해성디에스,2020-10-05,19750,20400,19750,20200,189906,0.02020202020202011
434,195870,해성디에스,2020-10-06,20200,20250,19800,20050,114318,-0.0074257425742574315
435,195870,해성디에스,2020-10-07,19950,20200,19600,20150,94691,0.004987531172069737
436,195870,해성디에스,2020-10-08,20350,20400,19900,20250,146657,0.00496277915632759
437,195870,해성디에스,2020-10-12,20600,20600,20200,20500,261042,0.012345679012345734
438,195870,해성디에스,2020-10-13,20600,20600,20000,20150,166509,-0.017073170731707332
439,195870,해성디에스,2020-10-14,20150,20150,19750,19900,99866,-0.012406947890818865
